iteration,gain_max,ugf,pm,temperature,vdd,vcm_diff
21,41.3774,11880800,67.7085,27,1.7,-0.2
22,41.1939,13301100,70.6714,27,1.7,-0.2
23,69.4451,16370800,64.6707,27,1.7,-0.2
24,60.7058,15621600,64.7937,27,1.7,-0.2
25,64.688,15796100,64.9892,27,1.7,-0.2
26,64.3956,15690100,65.0348,27,1.7,-0.2
27,65.5563,16144800,64.9174,27,1.7,-0.2
28,38.849,12720100,72.0044,27,1.7,-0.2
29,65.3624,16006000,64.9938,27,1.7,-0.2
30,69.4156,16191600,64.6463,27,1.7,-0.2
31,44.9442,13982400,68.866,27,1.7,-0.2
32,65.3799,16097500,64.9212,27,1.7,-0.2
33,64.8367,15874800,64.9491,27,1.7,-0.2
34,39.2597,12939600,71.8439,27,1.7,-0.2
35,65.9415,16014500,64.6081,27,1.7,-0.2
36,55.5254,14793600,66.1813,27,1.7,-0.2
37,70.2223,16344600,64.5966,27,1.7,-0.2
38,40.0847,13035500,71.2866,27,1.7,-0.2
39,65.3626,16088900,64.9176,27,1.7,-0.2
40,65.9568,16221500,64.9096,27,1.7,-0.2
41,65.9929,16237600,64.9279,27,1.7,-0.2
42,45.2962,13018800,66.6011,27,1.7,-0.2
43,65.8736,16169900,64.9269,27,1.7,-0.2
44,63.2337,15505600,65.0994,27,1.7,-0.2
45,53.943,14767400,65.3263,27,1.7,-0.2
46,55.3801,15076100,65.1626,27,1.7,-0.2
47,66.2766,16347700,64.896,27,1.7,-0.2
48,50.6202,14556000,67.1686,27,1.7,-0.2
49,65.2956,16073800,64.9603,27,1.7,-0.2
50,64.4008,15623900,64.9935,27,1.7,-0.2
51,63.5574,15441200,65.0214,27,1.7,-0.2
52,46.538,14183200,68.394,27,1.7,-0.2
53,48.6858,14274600,67.6753,27,1.7,-0.2
54,66.1572,16166700,64.8885,27,1.7,-0.2
55,64.7939,15826400,64.9731,27,1.7,-0.2
56,68.0153,16121100,64.6324,27,1.7,-0.2
57,36.394,11748600,73.6155,27,1.7,-0.2
58,64.725,15731500,64.9773,27,1.7,-0.2
59,63.5547,15579600,65.0149,27,1.7,-0.2
60,64.1252,15614600,65.016,27,1.7,-0.2
61,64.3157,15628400,64.9516,27,1.7,-0.2
62,45.4709,13057600,66.5976,27,1.7,-0.2
63,64.6652,15652000,64.9518,27,1.7,-0.2
64,66.8107,16069500,64.6075,27,1.7,-0.2
65,66.8264,16400900,64.8358,27,1.7,-0.2
66,35.5221,11376900,74.2165,27,1.7,-0.2
67,48.586,13801000,66.0037,27,1.7,-0.2
68,38.2552,10806300,68.8676,27,1.7,-0.2
69,57.3749,15287400,65.0117,27,1.7,-0.2
70,68.7523,16321100,64.6232,27,1.7,-0.2
71,53.2117,14664200,65.4387,27,1.7,-0.2
72,68.7399,16327300,64.7246,27,1.7,-0.2
73,64.7341,15767800,64.9192,27,1.7,-0.2
74,42.0827,13481100,70.1855,27,1.7,-0.2
75,54.3815,14807300,66.3708,27,1.7,-0.2
76,62.8377,15854900,64.7116,27,1.7,-0.2
77,65.6206,16183600,64.9576,27,1.7,-0.2
78,35.4765,11306500,74.1628,27,1.7,-0.2
79,65.047,15925200,64.9444,27,1.7,-0.2
80,64.9515,15951900,64.9998,27,1.7,-0.2
81,40.9165,11688800,67.8602,27,1.7,-0.2
82,64.5103,15793000,64.9469,27,1.7,-0.2
83,43.4249,13789700,69.5148,27,1.7,-0.2
84,66.236,16374100,64.8708,27,1.7,-0.2
85,67.3168,16381600,64.7955,27,1.7,-0.2
86,69.777,16337200,64.6267,27,1.7,-0.2
87,55.1421,14868300,66.2568,27,1.7,-0.2
88,64.1188,15553900,65.0011,27,1.7,-0.2
89,43.3312,13692900,69.6583,27,1.7,-0.2
90,65.5269,16090600,64.9409,27,1.7,-0.2
91,38.3291,12517400,72.3355,27,1.7,-0.2
92,50.4663,14541200,67.1832,27,1.7,-0.2
93,53.0081,14648900,66.6627,27,1.7,-0.2
94,57.4153,15246600,65.0353,27,1.7,-0.2
95,64.7468,15828400,64.9871,27,1.7,-0.2
96,61.9081,15698700,64.7038,27,1.7,-0.2
97,70.0113,16446700,64.5468,27,1.7,-0.2
98,63.1355,15352500,65.0687,27,1.7,-0.2
99,42.7482,13633800,69.8584,27,1.7,-0.2
100,58.7508,15176400,65.6422,27,1.7,-0.2
101,49.1661,14411800,67.5609,27,1.7,-0.2
102,67.3312,16375500,64.7922,27,1.7,-0.2
103,42.9442,13793700,69.8042,27,1.7,-0.2
104,64.3221,15656300,65.0179,27,1.7,-0.2
105,38.8308,12691800,72.0196,27,1.7,-0.2
106,43.293,13770200,69.6529,27,1.7,-0.2
107,64.5586,15613800,65.0056,27,1.7,-0.2
108,49.223,14056900,65.9091,27,1.7,-0.2
109,70.2959,16361500,64.5924,27,1.7,-0.2
110,61.5942,15342000,65.2901,27,1.7,-0.2
111,49.3509,14003300,65.8588,27,1.7,-0.2
112,66.1896,16296500,64.8281,27,1.7,-0.2
113,63.8633,15546500,65.0354,27,1.7,-0.2
114,42.5573,12211700,67.2984,27,1.7,-0.2
115,67.4804,16333000,64.8117,27,1.7,-0.2
116,43.6168,12496700,67.0519,27,1.7,-0.2
117,48.4656,13733400,65.978,27,1.7,-0.2
118,69.1389,16150800,64.5611,27,1.7,-0.2
119,61.9334,15226900,65.2564,27,1.7,-0.2
120,63.6249,15761800,64.7008,27,1.7,-0.2
121,68.3891,16382300,64.7261,27,1.7,-0.2
122,46.5285,14074600,68.3856,27,1.7,-0.2
123,49.0728,14393400,67.5526,27,1.7,-0.2
124,64.0723,15603500,64.9861,27,1.7,-0.2
125,41.0942,13379600,70.6989,27,1.7,-0.2
126,35.4436,11352000,74.288,27,1.7,-0.2
127,54.309,14826400,66.3946,27,1.7,-0.2
128,65.433,16230500,64.9311,27,1.7,-0.2
129,46.4728,14075200,68.3359,27,1.7,-0.2
130,42.9489,13651900,69.7703,27,1.7,-0.2
131,60.4227,15147800,65.4527,27,1.7,-0.2
132,64.1098,15433600,64.9954,27,1.7,-0.2
133,65.978,16351700,64.8845,27,1.7,-0.2
134,58.1419,15014100,65.7145,27,1.7,-0.2
135,44.5983,13856700,69.0358,27,1.7,-0.2
136,66.3361,16314800,64.8538,27,1.7,-0.2
137,63.3795,15357900,65.0567,27,1.7,-0.2
138,64.9405,15976800,64.9759,27,1.7,-0.2
139,47.9651,13657600,66.0888,27,1.7,-0.2
140,65.2402,16094100,65.0045,27,1.7,-0.2
141,43.2195,12348800,67.13,27,1.7,-0.2
142,38.8781,10964300,68.5206,27,1.7,-0.2
143,56.9505,15036300,65.9694,27,1.7,-0.2
144,41.4753,11820600,67.7106,27,1.7,-0.2
145,45.7988,13237600,66.5228,27,1.7,-0.2
146,65.2455,16150200,64.9354,27,1.7,-0.2
147,62.6219,15685400,64.723,27,1.7,-0.2
148,69.4187,16291800,64.5306,27,1.7,-0.2
149,64.69,15706700,64.9972,27,1.7,-0.2
150,65.2204,16037000,64.9516,27,1.7,-0.2
1,38.8668,11867800,71.7171,50,1.7,-0.2
2,42.1633,12703100,69.9971,50,1.7,-0.2
3,46.4253,13316700,68.316,50,1.7,-0.2
4,64.5831,14671300,65.0132,50,1.7,-0.2
5,36.676,9689540,69.1828,50,1.7,-0.2
6,65.5563,15078000,65.0288,50,1.7,-0.2
7,62.5603,14370400,65.1539,50,1.7,-0.2
8,64.4208,14664400,65.0005,50,1.7,-0.2
9,42.9075,11689700,67.0988,50,1.7,-0.2
10,53.0549,13877000,65.3164,50,1.7,-0.2
11,50.1112,13275400,65.6783,50,1.7,-0.2
12,65.3552,15096200,64.9764,50,1.7,-0.2
13,65.1934,14987800,65.0282,50,1.7,-0.2
14,65.2514,15024400,65.0256,50,1.7,-0.2
15,65.8638,15323900,65.0011,50,1.7,-0.2
